mc12_8TeV.176479.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0163196
mc12_8TeV.176322.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.4251750
mc12_8TeV.176323.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.3038390
mc12_8TeV.176324.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.2220660
mc12_8TeV.176325.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.1671270
mc12_8TeV.176326.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.1276190
mc12_8TeV.176327.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0996356
mc12_8TeV.176328.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0620642
mc12_8TeV.176329.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0505188
mc12_8TeV.176330.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0408056
mc12_8TeV.176331.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0333769
mc12_8TeV.176332.Herwigpp_UEEE3_CTEQ6L1_simplifiedModel_wC_noslep_WW.merge.NTUP_SUSY.e1694_a159_a171_r3549_p1328/    0.9*0.0271035
